Longitude,Latitude,Pops,Key,Region,Collection_Region,,,,
-103.628,32.363,E51_EB,In-situ,East,In-situ_East,,,,
-103.58,31.849,E94_EB,In-situ,East,In-situ_East,,,,
-103.479,32.707,E19_EB,In-situ,East,In-situ_East,,,,
-103.468,33.701,E34_EB,In-situ,East,In-situ_East,,,,
-103.35,34.57,E38_EB,In-situ,East,In-situ_East,,,,
-103.346,34.986,E36_EB,In-situ,East,In-situ_East,,,,
-103.342,33.692,E27_EB,In-situ,East,In-situ_East,,,,
-103.34,33.643,E33_EB,In-situ,East,In-situ_East,,,,
-103.339,33.701,E59_EB,In-situ,East,In-situ_East,,,,
-103.331,35.085,E224_EB,In-situ,East,In-situ_East,,,,
-103.238,33.608,E32_EB,In-situ,East,In-situ_East,,,,
-103.23,32.532,E17_EB,In-situ,East,In-situ_East,,,,
-103.224,33.714,E35_EB,In-situ,East,In-situ_East,,,,
-103.173,32.511,E31_EB,In-situ,East,In-situ_East,,,,
-103.149,31.625,E110_EB,In-situ,East,In-situ_East,,,,
-103.137,31.797,E158_EB,In-situ,East,In-situ_East,,,,
-103.11,32.003,E4_EB,In-situ,East,In-situ_East,,,,
-103.093,32.003,E3_EB,In-situ,East,In-situ_East,,,,
-103.06,33.101,E128_EB,In-situ,East,In-situ_East,,,,
-103.05292,33.570451,SH_EAUX7,In-situ,East,In-situ_East,,,,
-103.05,31.383,E107_EB,In-situ,East,In-situ_East,,,,
-103.05,31.38,E206_EB,In-situ,East,In-situ_East,,,,
-103.02,31.796,E112_EB,In-situ,East,In-situ_East,,,,
-102.973,31.601,E151_EB,In-situ,East,In-situ_East,,,,
-102.972,31.755,E111_EB,In-situ,East,In-situ_East,,,,
-102.972,31.96,E116_EB,In-situ,East,In-situ_East,,,,
-102.963,36.976,E74_EB,In-situ,East,In-situ_East,,,,
-102.939819,33.149723,SH_EAUX5,In-situ,East,In-situ_East,,,,
-102.927,36.903,E92_EB,In-situ,East,In-situ_East,,,,
-102.913,31.881,E115_EB,In-situ,East,In-situ_East,,,,
-102.9,31.687,E155_EB,In-situ,East,In-situ_East,,,,
-102.899,33.994,E143_EB,In-situ,East,In-situ_East,,,,
-102.882,33.873,E201_EB,In-situ,East,In-situ_East,,,,
-102.849,32.062,E117_EB,In-situ,East,In-situ_East,,,,
-102.834,31.654,E154_EB,In-situ,East,In-situ_East,,,,
-102.83,32.37,E118_EB,In-situ,East,In-situ_East,,,,
-102.83,31.622,E208_EB,In-situ,East,In-situ_East,,,,
-102.819,31.594,E109_EB,In-situ,East,In-situ_East,,,,
-102.816,31.762,E157_EB,In-situ,East,In-situ_East,,,,
-102.813,31.625,E153_EB,In-situ,East,In-situ_East,,,,
-102.812,31.623,E193_EB,In-situ,East,In-situ_East,,,,
-102.811,31.621,E152_EB,In-situ,East,In-situ_East,,,,
-102.81,31.694,E156_EB,In-situ,East,In-situ_East,,,,
-102.8,32.4,E210_EB,In-situ,East,In-situ_East,,,,
-102.78,32.381,E160_EB,In-situ,East,In-situ_East,,,,
-102.775,32.262,E159_EB,In-situ,East,In-situ_East,,,,
-102.724,34.226,E144_EB,In-situ,East,In-situ_East,,,,
-102.72,30.78,E192_EB,In-situ,East,In-situ_East,,,,
-102.645,32.646,E121_EB,In-situ,East,In-situ_East,,,,
-102.645,32.719,E127_EB,In-situ,East,In-situ_East,,,,
-102.638,33.314,E186_EB,In-situ,East,In-situ_East,,,,
-102.608,31.497,E108_EB,In-situ,East,In-situ_East,,,,
-102.602,36.278,E106_EB,In-situ,East,In-situ_East,,,,
-102.6,33.53,E135_EB,In-situ,East,In-situ_East,,,,
-102.546,32.536,E120_EB,In-situ,East,In-situ_East,,,,
-102.488,31.423,E207_EB,In-situ,East,In-situ_East,,,,
-102.429,32.409,E161_EB,In-situ,East,In-situ_East,,,,
-102.399,32.791,E183_EB,In-situ,East,In-situ_East,,,,
-102.398,32.606,E163_EB,In-situ,East,In-situ_East,,,,
-102.379,32.64,E165_EB,In-situ,East,In-situ_East,,,,
-102.368,31.846,E113_EB,In-situ,East,In-situ_East,,,,
-102.353,32.652,E166_EB,In-situ,East,In-situ_East,,,,
-102.35,32.678,E169_EB,In-situ,East,In-situ_East,,,,
-102.349,31.392,E150_EB,In-situ,East,In-situ_East,,,,
-102.349,32.721,E176_EB,In-situ,East,In-situ_East,,,,
-102.336,32.778,E181_EB,In-situ,East,In-situ_East,,,,
-102.32,33.28,E132_EB,In-situ,East,In-situ_East,,,,
-102.311,32.662,E167_EB,In-situ,East,In-situ_East,,,,
-102.287,32.79,E182_EB,In-situ,East,In-situ_East,,,,
-102.284,32.695,E172_EB,In-situ,East,In-situ_East,,,,
-102.274,33.181,E129_EB,In-situ,East,In-situ_East,,,,
-102.258,32.696,E123_EB,In-situ,East,In-situ_East,,,,
-102.258,32.697,E125_EB,In-situ,East,In-situ_East,,,,
-102.257,32.695,E122_EB,In-situ,East,In-situ_East,,,,
-102.257,32.697,E124_EB,In-situ,East,In-situ_East,,,,
-102.256,32.7,E126_EB,In-situ,East,In-situ_East,,,,
-102.255,32.701,E173_EB,In-situ,East,In-situ_East,,,,
-102.255,32.7,E174_EB,In-situ,East,In-situ_East,,,,
-102.241,32.733,E177_EB,In-situ,East,In-situ_East,,,,
-102.226,32.682,E170_EB,In-situ,East,In-situ_East,,,,
-102.223,32.678,E168_EB,In-situ,East,In-situ_East,,,,
-102.22,32.689,E171_EB,In-situ,East,In-situ_East,,,,
-102.219,32.796,E184_EB,In-situ,East,In-situ_East,,,,
-102.218,32.775,E180_EB,In-situ,East,In-situ_East,,,,
-102.216,32.772,E179_EB,In-situ,East,In-situ_East,,,,
-102.214,32.605,E162_EB,In-situ,East,In-situ_East,,,,
-102.214,32.622,E164_EB,In-situ,East,In-situ_East,,,,
-102.209,32.715,E175_EB,In-situ,East,In-situ_East,,,,
-102.207,33.337,E133_EB,In-situ,East,In-situ_East,,,,
-102.204,32.75,E178_EB,In-situ,East,In-situ_East,,,,
-102.102,33.037,E212_EB,In-situ,East,In-situ_East,,,,
-102.078,32.433,E119_EB,In-situ,East,In-situ_East,,,,
-102.03,31.87,E194_EB,In-situ,East,In-situ_East,,,,
-101.9,34.97,E204_EB,In-situ,East,In-situ_East,,,,
-101.89,36.28,E205_EB,In-situ,East,In-situ_East,,,,
-101.855,33.578,E136_EB,In-situ,East,In-situ_East,,,,
-101.82,33.18,E200_EB,In-situ,East,In-situ_East,,,,
-101.521,31.869,E95_EB,In-situ,East,In-situ_East,,,,
-101.478,32.25,E189_EB,In-situ,East,In-situ_East,,,,
-101.471,32.77,E211_EB,In-situ,East,In-situ_East,,,,
-101.439,32.303,E209_EB,In-situ,East,In-situ_East,,,,
-101.412,30.723,E93_EB,In-situ,East,In-situ_East,,,,
-101.3906,33.45861,SH_E13,In-situ,East,In-situ_East,,,,
-101.36,34.97,E203_EB,In-situ,East,In-situ_East,,,,
-101.355,35.84,E104_EB,In-situ,East,In-situ_East,,,,
-101.354,35.403,E102_EB,In-situ,East,In-situ_East,,,,
-101.305,33.252,E130_EB,In-situ,East,In-situ_East,,,,
-101.275,33.277,E131_EB,In-situ,East,In-situ_East,,,,
-101.209,34.53,E100_EB,In-situ,East,In-situ_East,,,,
-101.148,33.409,E134_EB,In-situ,East,In-situ_East,,,,
-101.067,33.439,E187_EB,In-situ,East,In-situ_East,,,,
-101.062,33.441,E188_EB,In-situ,East,In-situ_East,,,,
-100.921,32.306,E97_EB,In-situ,East,In-situ_East,,,,
-100.916,32.746,E98_EB,In-situ,East,In-situ_East,,,,
-100.909,34.012,E215_EB,In-situ,East,In-situ_East,,,,
-100.854,33.651,E137_EB,In-situ,East,In-situ_East,,,,
-100.847,33.81,E141_EB,In-situ,East,In-situ_East,,,,
-100.837,33.723,E138_EB,In-situ,East,In-situ_East,,,,
-100.837,33.738,E139_EB,In-situ,East,In-situ_East,,,,
-100.836,33.767,E213_EB,In-situ,East,In-situ_East,,,,
-100.822,34.302,E216_EB,In-situ,East,In-situ_East,,,,
-100.817,33.763,E140_EB,In-situ,East,In-situ_East,,,,
-100.814,34.965,E101_EB,In-situ,East,In-situ_East,,,,
-100.814,35.838,E103_EB,In-situ,East,In-situ_East,,,,
-100.802,37.131,E1_EB,In-situ,East,In-situ_East,,,,
-100.68,34.53,E202_EB,In-situ,East,In-situ_East,,,,
-100.629,35.293,E220_EB,In-situ,East,In-situ_East,,,,
-100.6,33.248,E185_EB,In-situ,East,In-situ_East,,,,
-100.558,33.858,E142_EB,In-situ,East,In-situ_East,,,,
-100.541,35.225,E146_EB,In-situ,East,In-situ_East,,,,
-100.54,35.225,E219_EB,In-situ,East,In-situ_East,,,,
-100.53,31.889,E96_EB,In-situ,East,In-situ_East,,,,
-100.529,35.372,E222_EB,In-situ,East,In-situ_East,,,,
-100.458,35.372,E221_EB,In-situ,East,In-situ_East,,,,
-100.451,34.91,E218_EB,In-situ,East,In-situ_East,,,,
-100.424,34.012,E214_EB,In-situ,East,In-situ_East,,,,
-100.4,32.74,E197_EB,In-situ,East,In-situ_East,,,,
-100.336,34.91,E217_EB,In-situ,East,In-situ_East,,,,
-100.293,35.985,E149_EB,In-situ,East,In-situ_East,,,,
-100.273,36.278,E105_EB,In-situ,East,In-situ_East,,,,
-100.271,35.503,E148_EB,In-situ,East,In-situ_East,,,,
-100.256,33.617,E99_EB,In-situ,East,In-situ_East,,,,
-100.25,33.18,E199_EB,In-situ,East,In-situ_East,,,,
-100.2,35.503,E147_EB,In-situ,East,In-situ_East,,,,
-100.199,35.445,E223_EB,In-situ,East,In-situ_East,,,,
-100.1839,35.888,E195_EB,In-situ,East,In-situ_East,,,,
-100.12,34.481,E191_EB,In-situ,East,In-situ_East,,,,
-100.105,35.214,E145_EB,In-situ,East,In-situ_East,,,,
-99.89,32.3,E196_EB,In-situ,East,In-situ_East,,,,
-99.887,35.904,E69_EB,In-situ,East,In-situ_East,,,,
-99.88,32.74,E198_EB,In-situ,East,In-situ_East,,,,
-99.868,35.892,E81_EB,In-situ,East,In-situ_East,,,,
-99.827,35.794,E80_EB,In-situ,East,In-situ_East,,,,
-99.771,34.802,E68_EB,In-situ,East,In-situ_East,,,,
-99.762,35.545,E76_EB,In-situ,East,In-situ_East,,,,
-99.749,35.546,E71_EB,In-situ,East,In-situ_East,,,,
-99.746,35.547,E77_EB,In-situ,East,In-situ_East,,,,
-99.742,35.709,E82_EB,In-situ,East,In-situ_East,,,,
-99.741,35.309,E70_EB,In-situ,East,In-situ_East,,,,
-99.741,35.541,E75_EB,In-situ,East,In-situ_East,,,,
-99.724,35.559,E79_EB,In-situ,East,In-situ_East,,,,
-99.718,35.538,E89_EB,In-situ,East,In-situ_East,,,,
-99.671,35.556,E78_EB,In-situ,East,In-situ_East,,,,
-99.639,35.849,E72_EB,In-situ,East,In-situ_East,,,,
-99.561,34.936,E64_EB,In-situ,East,In-situ_East,,,,
-99.493,32.406,E190_EB,In-situ,East,In-situ_East,,,,
-99.493,36.022,E91_EB,In-situ,East,In-situ_East,,,,
-99.428,36.41,E84_EB,In-situ,East,In-situ_East,,,,
-99.404,35.986,E83_EB,In-situ,East,In-situ_East,,,,
-99.297,36.454,E73_EB,In-situ,East,In-situ_East,,,,
-99.192,36.486,E85_EB,In-situ,East,In-situ_East,,,,
-99.137,35.928,E90_EB,In-situ,East,In-situ_East,,,,
-99.1,31.87,E114_EB,In-situ,East,In-situ_East,,,,
-99.1,37.317,E2_EB,In-situ,East,In-situ_East,,,,
-99.001,35.639,E66_EB,In-situ,East,In-situ_East,,,,
-98.992,35.29,E65_EB,In-situ,East,In-situ_East,,,,
-98.981,34.916,E63_EB,In-situ,East,In-situ_East,,,,
-98.53,36.31,E86_EB,In-situ,East,In-situ_East,,,,
-98.472,34.662,E62_EB,In-situ,East,In-situ_East,,,,
-98.433,35.875,E67_EB,In-situ,East,In-situ_East,,,,
-98.381,35.168,E88_EB,In-situ,East,In-situ_East,,,,
-103.344343,33.711941,SH_E3,Ex-situ,East,Ex-situ_East,,,,
-103.26221,33.64291,SH_EAUX3,Ex-situ,East,Ex-situ_East,,,,
-103.232379,33.372902,SH_EAUX2,Ex-situ,East,Ex-situ_East,,,,
-103.18341,33.608706,SH_E4,Ex-situ,East,Ex-situ_East,,,,
-103.11081,33.20302,SH_EAUX6,Ex-situ,East,Ex-situ_East,,,,
-103.05192,33.62676,SH_EAUX4,Ex-situ,East,Ex-situ_East,,,,
-102.8129993,31.626835,SH_E11,Ex-situ,East,Ex-situ_East,,,,
-102.6168515,33.372725,SH_E1,Ex-situ,East,Ex-situ_East,,,,
-102.6063832,31.382295,SH_E12,Ex-situ,East,Ex-situ_East,,,,
-102.254821,33.238956,SH_E9,Ex-situ,East,Ex-situ_East,,,,
-101.3319871,32.286168,SH_E10,Ex-situ,East,Ex-situ_East,,,,
-101.0739,33.43528,SH_E14,Ex-situ,East,Ex-situ_East,,,,
-101.054931,33.443032,SH_E15,Ex-situ,East,Ex-situ_East,,,,
-100.2758676,35.903003,SH_E5,Ex-situ,East,Ex-situ_East,,,,
-100.19934,35.44526,SH_E6,Ex-situ,East,Ex-situ_East,,,,
-100.112279,35.448712,SH_EAUX8,Ex-situ,East,Ex-situ_East,,,,
-99.92558333,35.767091,SH_E7,Ex-situ,East,Ex-situ_East,,,,
-99.81720607,35.79435,SH_E8,Ex-situ,East,Ex-situ_East,,,,
-111.98501,34.72734,SH_W1,Ex-situ,West,Ex-situ_West,,,,
-110.56879,38.00006,SH_WAUX3,Ex-situ,West,Ex-situ_West,,,,
-110.1328778,36.616231,SH_W3,Ex-situ,West,Ex-situ_West,,,,
-110.068672,37.064371,SH_W6,Ex-situ,West,Ex-situ_West,,,,
-109.9730905,37.233943,SH_W7,Ex-situ,West,Ex-situ_West,,,,
-109.657265,38.699871,SH_WAUX10,Ex-situ,West,Ex-situ_West,,,,
-109.617944,36.927164,SH_W2,Ex-situ,West,Ex-situ_West,,,,
-110.6018908,38.065245,SH_W8,Ex-situ,West,Ex-situ_West,,,,
-109.5268944,38.573059,SH_W9,Ex-situ,West,Ex-situ_West,,,,
